"code CNIS";"sigle type formation";"libellé type formation";"libellé formation principal";"sigle formation";durée;"code RNCP";"niveau RNCP";"libellé niveau RNCP";tutelle;"lien site onisep.fr";domaine/sous-domaine
311;;"baccalauréat professionnel";"bac pro organisation de transport de marchandises (ex bac pro transport)";;"3 ans";34954;4;"niveau 4 (bac ou équivalent)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.583;"logistique - transport/logistique| logistique - transport/transport"
;;"classe de 2de professionnelle";"classe de seconde professionnelle métiers de la réalisation d'ensembles mécaniques et industriels";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.6814;"mécanique/mécanique (généralités)| matières premières, fabrication, industries/méthodes industrialisation"
;;"classe de 2de professionnelle";"classe de seconde professionnelle métiers de l'agencement, de la menuiserie et de l'ameublement";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.6815;"construction - architecture - travaux publics/agencement| construction - architecture - travaux publics/ameublement| matières premières, fabrication, industries/bois| construction - architecture - travaux publics/menuiserie"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École centrale de Nantes";;"3 ans";17327;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5391;"gestion des entreprises, comptabilité/administration de l'entreprise| mécanique/aéronautique| arts, culture, artisanat/arts du spectacle| arts, culture, artisanat/arts graphiques| mécanique/automatismes| informatique, internet/bases de données| informatique, internet/développement - programmation -  logiciel| électricité - électronique - robotique/électronique| environnement - énergies - propreté/énergies| matières premières, fabrication, industries/études et développement| matières premières, fabrication, industries/fonction production (généralités)| construction - architecture - travaux publics/génie civil| matières premières, fabrication, industries/génie industriel| histoire-géographie, psychologie, sociologie/géographie| matières premières, fabrication, industries/matériaux| sciences/mathématiques| mécanique/mécanique (généralités)| matières premières, fabrication, industries/méthodes industrialisation| santé - social - sport/santé (généralités)| sciences/sciences de la Terre| logistique - transport/transport| environnement - énergies - propreté/urbanisme"
255;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École polytechnique universitaire de l'université de Nantes spécialité électronique et technologies numériques";Polytech;"3 ans";16995;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5744;"électricité - électronique - robotique/électronique| informatique, internet/informatique (généralités)| informatique, internet/informatique industrielle et technologique| informatique, internet/systèmes et réseaux| électricité - électronique - robotique/télécommunications"
221;;"baccalauréat professionnel";"bac pro Laboratoire contrôle qualité";;"3 ans";13874;4;"niveau 4 (bac ou équivalent)";"Ministère de l'Agriculture et de l'Alimentation";http://www.onisep.fr/http/redirection/formation/slug/FOR.3812;"matières premières, fabrication, industries/agroalimentaire| matières premières, fabrication, industries/maintenance - qualité"
;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École nationale supérieure en génie des technologies industrielles de l'université de Pau spécialité génie électrique et informatique industrielle";ENSGTI;"3 ans";35695;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6946;"électricité - électronique - robotique/électrotechnique| environnement - énergies - propreté/énergies| informatique, internet/informatique industrielle et technologique| matières premières, fabrication, industries/méthodes industrialisation"
;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École nationale supérieure d'ingénieurs de Bretagne-Sud de l'université de Bretagne-Sud spécialité génie industriel en partenariat avec IFRIA Ouest";ENSIBS;"3 ans";35797;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6939;"mécanique/automatismes| matières premières, fabrication, industries/fonction production (généralités)| matières premières, fabrication, industries/génie industriel| matières premières, fabrication, industries/méthodes industrialisation| armée, sécurité/sécurité prévention"
234;;"baccalauréat professionnel";"bac pro Étude et réalisation d'agencement";;"3 ans";11934;4;"niveau 4 (bac ou équivalent)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.2883;"construction - architecture - travaux publics/agencement| arts, culture, artisanat/arts appliqués| matières premières, fabrication, industries/études et développement| construction - architecture - travaux publics/génie civil, construction (généralités)| matières premières, fabrication, industries/matériaux"
232;;"baccalauréat professionnel";"bac pro Interventions sur le patrimoine bâti option charpente";;"3 ans";;4;"niveau 4 (bac ou équivalent)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.6086;"matières premières, fabrication, industries/bois| construction - architecture - travaux publics/charpente, couverture"
;;"baccalauréat professionnel";"bac pro technicien en réalisation de produits mécaniques option réalisation et suivi de productions";TRPM;"3 ans";35697;4;"niveau 4 (bac ou équivalent)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.6848;"mécanique/mécanique (généralités)| matières premières, fabrication, industries/métallurgie sidérurgie"
243;;"baccalauréat professionnel";"bac pro Métiers du cuir option maroquinerie";;"3 ans";24740;4;"niveau 4 (bac ou équivalent)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.6046;"arts, culture, artisanat/artisanat d'art| matières premières, fabrication, industries/textile - habillement"
211;;"baccalauréat professionnel";"bac pro Conduite et gestion de l'entreprise vitivinicole";CGEVV;"3 ans";29259;4;"niveau 4 (bac ou équivalent)";"Ministère de l'Agriculture et de l'Alimentation";http://www.onisep.fr/http/redirection/formation/slug/FOR.717;"agriculture, animaux/agriculture (généralités)| matières premières, fabrication, industries/agroalimentaire| agriculture, animaux/cultures"
222;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'université de Strasbourg spécialité chimie-biotechnologies";CHEMBIOTEC;"3 ans";23256;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6121;"sciences/biologie| sciences/chimie| environnement - énergies - propreté/environnement (généralités)| santé - social - sport/santé (généralités)"
233;;"baccalauréat professionnel";"bac pro Menuiserie aluminium-verre";;"3 ans";;4;"niveau 4 (bac ou équivalent)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.1477;"construction - architecture - travaux publics/génie civil, construction (généralités)| matières premières, fabrication, industries/métallurgie sidérurgie| mécanique/travail des métaux| matières premières, fabrication, industries/verre"
234;;"baccalauréat professionnel";"bac pro Technicien de scierie";;"3 ans";4098;4;"niveau 4 (bac ou équivalent)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.1037;"matières premières, fabrication, industries/bois"
322;;"classe de 2de professionnelle";"classe de seconde professionnelle métiers des industries graphiques et de la communication";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1508;"information-communication, audiovisuel/industries graphiques"
212;;"baccalauréat professionnel";"bac pro Technicien en expérimentation animale";;"3 ans";13877;4;"niveau 4 (bac ou équivalent)";"Ministère de l'Agriculture et de l'Alimentation";http://www.onisep.fr/http/redirection/formation/slug/FOR.464;"agriculture, animaux/élevage - aquaculture| agriculture, animaux/soins aux animaux"
336;;"baccalauréat professionnel";"bac pro Métiers de la coiffure";;"3 ans";34420;4;"niveau 4 (bac ou équivalent)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.2966;"santé - social - sport/esthétique"
227;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École nationale supérieure d'électricité et de mécanique de Nancy de l'université de Lorraine en partenariat avec l'ITII Lorraine";ENSEM;"3 ans";24712;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5312;"électricité - électronique - robotique/électronique| électricité - électronique - robotique/électrotechnique| environnement - énergies - propreté/énergies| sciences/physique"
255;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École supérieure d'électronique de l'Ouest";ESEO;"5 ans";4345;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5674;"gestion des entreprises, comptabilité/administration de l'entreprise| mécanique/automatismes| mécanique/automobile| informatique, internet/bases de données| informatique, internet/développement - programmation -  logiciel| électricité - électronique - robotique/électronique| environnement - énergies - propreté/énergies| banque - assurances - immobilier/finances| matières premières, fabrication, industries/fonction production (généralités)| informatique, internet/informatique (généralités)| informatique, internet/informatique industrielle et technologique| matières premières, fabrication, industries/méthodes industrialisation| information-communication, audiovisuel/multimédia| santé - social - sport/santé (généralités)| informatique, internet/systèmes et réseaux| information-communication, audiovisuel/technologies de l'information| électricité - électronique - robotique/télécommunications| logistique - transport/transport"
252;TP;"titre professionnel";"TP technicien de maintenance d'engins et de matériels machinisme agricole""""";;"1 an";35187;4;"niveau 4 (bac ou équivalent)";"Ministère du travail, de l'emploi et du dialogue social";http://www.onisep.fr/http/redirection/formation/slug/FOR.2155;"mécanique/machinisme agricole"
112;"mastère spé.";"mastère spécialisé";"mastère spé. Bioprocédés - Génie des procédés en biotechnologie (CPE Lyon - ENSIC)";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3997;"sciences/biologie| matières premières, fabrication, industries/méthodes industrialisation"
112;;master;"master mention biochimie, biologie moléculaire";;"2 ans";31847;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5045;sciences/biologie
118;;"formation d'école spécialisée";"Chargé de projet en gestion et valorisation naturaliste";;"3 ans";31960;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2563;sciences/biologie
117;DU;"diplôme d'université";"DU Master of Science Science, conservation and valorization of marine resources";MARRES;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3375;"sciences/sciences de la Terre"
113;DU;"diplôme d'université";"DU Master of Science in Modeling of neuronal and cognitive systems";;"2 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3273;"sciences/biologie| histoire-géographie, psychologie, sociologie/psychologie"
113;;magistère;"magistère Biologie";;"3 ans";;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3790;sciences/biologie
117;;"formation d'école spécialisée";"Géomatique et métiers de l'eau";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3843;"histoire-géographie, psychologie, sociologie/géographie| environnement - énergies - propreté/gestion de l'eau| sciences/sciences de la Terre"
118;;master;"master mention microbiologie";;"2 ans";34151;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5135;sciences/biologie
;;"formation d'école spécialisée";"biotechnologies et management";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7074;"gestion des entreprises, comptabilité/administration de l'entreprise| sciences/biologie"
222;"mastère spé.";"mastère spécialisé";"mastère spé. Traitements, transformations et applications des hydrocarbures";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2172;"sciences/chimie| environnement - énergies - propreté/énergies"
116;;"formation d'école spécialisée";"Cycle international CHEM.I.ST (CHEMistry International STudies), 1re année";;"1 an";;0;"non inscrit au RNCP";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.3852;sciences/chimie
;BUT;"bachelor universitaire de technologie";"BUT chimie";;"3 ans";;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6699;"mécanique/automatismes| sciences/chimie| environnement - énergies - propreté/déchets, pollutions et risques| matières premières, fabrication, industries/matériaux| matières premières, fabrication, industries/méthodes industrialisation"
200;;"licence professionnelle";"licence pro mention acoustique et vibrations";;"1 an";29497;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.4887;"mécanique/automatismes| environnement - énergies - propreté/déchets, pollutions et risques| matières premières, fabrication, industries/génie industriel| sciences/physique"
115;;magistère;"magistère Physique fondamentale";;"3 ans";;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3791;sciences/physique
115;;magistère;"magistère Physico-chimie moléculaire";;"3 ans";;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3792;"sciences/biologie| sciences/chimie"
;;"formation d'école spécialisée";"Technicien performance industrielle (CESI ESA)";;"2 ans";35861;3;"niveau 5 (bac + 2)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7571;"matières premières, fabrication, industries/fabrication - productique| logistique - transport/logistique| matières premières, fabrication, industries/maintenance - qualité| matières premières, fabrication, industries/méthodes industrialisation"
128;;"formation d'école spécialisée";"Double cursus INSA SCIENCES PO Rennes";;"6 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2131;"gestion des entreprises, comptabilité/administration de l'entreprise| mécanique/automatismes| armée, sécurité/défense publique| construction - architecture - travaux publics/génie civil| matières premières, fabrication, industries/génie industriel| informatique, internet/informatique (généralités)| sciences/mathématiques| mécanique/mécanique (généralités)| économie - droit - politique/sciences politiques| environnement - énergies - propreté/urbanisme"
311;TP;"titre professionnel";"TP cariste d'entrepôt";;"1 an";34857;5;"niveau 3 (niveau CAP)";"Ministère du travail, de l'emploi et du dialogue social";http://www.onisep.fr/http/redirection/formation/slug/FOR.3084;"mécanique/automatismes| logistique - transport/logistique"
313;;"formation d'école spécialisée";"expert en évaluation et audit immobilier";;"2 ans";34232;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.1944;"banque - assurances - immobilier/immobilier"
315;;"formation d'école spécialisée";"chargé d'administration des ressources humaines (IGS)";;"1 an";23000;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2532;"gestion des entreprises, comptabilité/ressources humaines"
311;CAP;"Certificat d'aptitude professionnelle";"CAP conducteur routier marchandises";;"2 ans";5377;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.1352;"logistique - transport/logistique| logistique - transport/transport"
;;"formation d'école spécialisée";"chargé de développement des ressources humaines (ISCG)";;"1 an";34729;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7061;"gestion des entreprises, comptabilité/ressources humaines"
;;"formation d'école spécialisée";"chargé de recrutement";;"1 an";34049;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.6915;"gestion des entreprises, comptabilité/ressources humaines"
315;;"formation d'école spécialisée";"manager en ressources humaines (IGS)";RMDRH;"3 ans";35681;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.438;"gestion des entreprises, comptabilité/ressources humaines"
315;;"formation d'école spécialisée";"manager en ressources humaines (Ascencia Business School)";;"1 an";27831;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3417;"gestion des entreprises, comptabilité/ressources humaines"
320;;"formation d'école spécialisée";"Expert en transformation digitale et technologique";;"1 an";36209;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7586;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/multimédia| information-communication, audiovisuel/technologies de l'information"
332;TP;"titre professionnel";"TP agent de médiation, information, services";;"1 an";35313;5;"niveau 3 (niveau CAP)";"Ministère du travail, de l'emploi et du dialogue social";http://www.onisep.fr/http/redirection/formation/slug/FOR.7589;"armée, sécurité/sécurité prévention| santé - social - sport/travail social"
200;;"formation de fonctionnaires (après concours)";"Formation d'adjoint technique d'administration pénitentiaire";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2434;"armée, sécurité/sécurité prévention"
223;CAP;"Certificat d'aptitude professionnelle";"CAP Émailleur d'art sur métaux";;"2 ans";566;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.594;"arts, culture, artisanat/artisanat d'art"
223;BTS;"brevet de technicien supérieur";"BTS Conception des processus de réalisation de produits option A production unitaire";"CPRP PU";"2 ans";34076;3;"niveau 5 (bac + 2)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.5978;"matières premières, fabrication, industries/études et développement| matières premières, fabrication, industries/fonction production (généralités)| mécanique/mécanique (généralités)| matières premières, fabrication, industries/méthodes industrialisation"
;BTS;"brevet de technicien supérieur";"BTS métiers de la mesure";;"2 ans";35803;3;"niveau 5 (bac + 2)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6775;"mécanique/automatismes| électricité - électronique - robotique/électronique| sciences/physique"
311;;"formation d'école spécialisée";"manager logistique et achats industriels";;"2 ans";34807;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2533;"logistique - transport/logistique"
314;;master;"master mention actuariat";;"2 ans";31505;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.4655;"banque - assurances - immobilier/assurances"
323;;"formation d'école spécialisée";"Game programming";;"5 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3837;"information-communication, audiovisuel/multimédia"
255;;"diplôme d'ingénieur";"diplôme d'ingénieur du CNAM spécialité génie électrique en partenariat avec Ingénieurs 2000";EICnam;"3 ans";;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.5602;"environnement - énergies - propreté/énergies"
331;BTS;"brevet de technicien supérieur";"BTS Diététique";;"2 ans";35523;3;"niveau 5 (bac + 2)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.262;"matières premières, fabrication, industries/agroalimentaire| santé - social - sport/paramédical"
201;BTS;"brevet de technicien supérieur";"BTS Conception et réalisation de systèmes automatiques";CRSA;"2 ans";35385;3;"niveau 5 (bac + 2)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.325;"mécanique/automatismes| électricité - électronique - robotique/électronique| matières premières, fabrication, industries/génie industriel| mécanique/mécanique (généralités)"
213;BTSA;"brevet de technicien supérieur agricole";"BTSA Gestion et protection de la nature";GPN;"2 ans";15674;3;"niveau 5 (bac + 2)";"Ministère de l'Agriculture et de l'Alimentation";http://www.onisep.fr/http/redirection/formation/slug/FOR.2554;"agriculture, animaux/agriculture (généralités)| environnement - énergies - propreté/environnement (généralités)| environnement - énergies - propreté/protection des espaces naturels| hôtellerie - restauration - tourisme/tourisme"
312;FCIL;"formation complémentaire d'initiative locale";"FCIL E-commerce";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.572;"commerce, marketing, vente/grande distribution et petits commerces"
310;;"formation d'école spécialisée";"responsable marketing et événementiel sport";;"3 ans";34317;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3547;"santé - social - sport/sport"
;FCIL;"formation complémentaire d'initiative locale";"FCIL Fabrication et traitement de structures métalliques industrielles";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7444;"matières premières, fabrication, industries/fabrication - productique| matières premières, fabrication, industries/métallurgie sidérurgie| sciences/physique| mécanique/travail des métaux"
310;;"formation d'école spécialisée";"manager opérationnel de business unit";;"1 an";34333;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3938;"gestion des entreprises, comptabilité/administration de l'entreprise| commerce, marketing, vente/marketing - vente"
310;;"diplôme d'école de commerce visé (bac + 3)";"Bachelor coordinateur de projets de développement international et sociétal";;"3 ans";35843;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4059;"commerce, marketing, vente/commerce international| santé - social - sport/travail social"
311;;"formation d'école spécialisée";"responsable de production transport logistique";;"1 an";34190;2;"niveau 6 (bac + 3)";"Ministère chargé des transports";http://www.onisep.fr/http/redirection/formation/slug/FOR.1923;"matières premières, fabrication, industries/fabrication - productique| logistique - transport/logistique| logistique - transport/transport"
315;;"formation d'école spécialisée";"responsable ressources humaines (CESI ESA)";;"1 an";16889;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2202;"gestion des entreprises, comptabilité/ressources humaines"
250;BTS;"brevet de technicien supérieur";"BTS maintenance des systèmes option A systèmes de production";;"2 ans";;3;"niveau 5 (bac + 2)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.7539;"mécanique/automatismes| électricité - électronique - robotique/électronique| électricité - électronique - robotique/électrotechnique| matières premières, fabrication, industries/maintenance - qualité| mécanique/mécanique (généralités)| matières premières, fabrication, industries/méthodes industrialisation| sciences/physique"
200;;"diplôme d'ingénieur";"diplôme d'ingénieur du CNAM spécialité instrumentation en partenariat avec l'ITII Ile-de-France";EICnam;"3 ans";34663;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6140;"mécanique/automatismes| électricité - électronique - robotique/électronique| matières premières, fabrication, industries/études et développement| sciences/physique"
251;;"diplôme d'ingénieur";"diplôme d'ingénieur du CNAM spécialité mécanique en partenariat avec l'ITII Ile-de-France";EICnam;"3 ans";18331;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6170;"matières premières, fabrication, industries/génie industriel| mécanique/mécanique (généralités)"
315;;"formation d'école spécialisée";"Manager des ressources humaines (IPAC Sciences U)";;"2 ans";35125;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2778;"gestion des entreprises, comptabilité/ressources humaines"
214;TP;"titre professionnel";"TP Ouvrier du paysage";;"1 an";399;5;"niveau 3 (niveau CAP)";"Ministère du travail, de l'emploi et du dialogue social";http://www.onisep.fr/http/redirection/formation/slug/FOR.3946;"environnement - énergies - propreté/aménagement paysager"
222;TP;"titre professionnel";"TP conducteur d'appareils de l'industrie de la chimie";;"1 an";35314;5;"niveau 3 (niveau CAP)";"Ministère du travail, de l'emploi et du dialogue social";http://www.onisep.fr/http/redirection/formation/slug/FOR.1426;sciences/chimie
335;"BP JEPS";"brevet professionnel de la jeunesse, de l'éducation populaire et du sport";"BP JEPS spécialité éducateur sportif mention activités de la forme option cours collectifs";;"1 an";28573;4;"niveau 4 (bac ou équivalent)";"Ministère chargé des sports";http://www.onisep.fr/http/redirection/formation/slug/FOR.6277;"santé - social - sport/sport"
255;;"formation d'école spécialisée";"Technicien réseaux et service très haut débit";;"1 an";29716;4;"niveau 4 (bac ou équivalent)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4635;"informatique, internet/bases de données| électricité - électronique - robotique/électronique| informatique, internet/systèmes et réseaux| électricité - électronique - robotique/télécommunications"
;TP;"titre professionnel";"TP Technicien supérieur en gestion de production";;"2 ans";4963;3;"niveau 5 (bac + 2)";"Ministère du travail, de l'emploi et du dialogue social";http://www.onisep.fr/http/redirection/formation/slug/FOR.7146;"matières premières, fabrication, industries/fabrication - productique| matières premières, fabrication, industries/méthodes industrialisation"
310;;"diplôme d'école de commerce visé de niveau bac + 4 ou 5";"Diplôme supérieur de management international (programme International BBA)";;"4 ans";35318;2;"niveau 6 (bac + 3)";"Chambre de commerce et d'industrie";http://www.onisep.fr/http/redirection/formation/slug/FOR.1287;"gestion des entreprises, comptabilité/administration de l'entreprise| commerce, marketing, vente/commerce international| commerce, marketing, vente/marketing - vente"
;"mastère spé.";"mastère spécialisé";"mastère spé. big data : analytics avancées pour la décision (UTT)";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7429;"informatique, internet/bases de données| sciences/mathématiques| information-communication, audiovisuel/technologies de l'information"
322;;"formation d'école spécialisée";"Designer visuel et digital (ECV)";;"5 ans";35451;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2637;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/journalisme - édition - publicité| information-communication, audiovisuel/multimédia"
326;;"formation d'école spécialisée";"Manager de systèmes informatique et robotique";IMERIR;"3 ans";29303;1;"niveau 7 (bac + 5)";"Chambre de commerce et d'industrie";http://www.onisep.fr/http/redirection/formation/slug/FOR.2290;"mécanique/automatismes| matières premières, fabrication, industries/fabrication - productique| matières premières, fabrication, industries/fonction production (généralités)| matières premières, fabrication, industries/génie industriel| informatique, internet/informatique (généralités)| informatique, internet/informatique industrielle et technologique"
323;;"formation d'école spécialisée";"Technicien audiovisuel multitechnique (Eicar)";;"1 an";29816;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2489;"information-communication, audiovisuel/audiovisuel"
223;CAP;"Certificat d'aptitude professionnelle";"CAP Mouleur noyauteur : cuivre et bronze";;"2 ans";637;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.671;"arts, culture, artisanat/artisanat d'art| matières premières, fabrication, industries/fabrication - productique| mécanique/travail des métaux"
201;;"licence professionnelle";"licence pro mention domotique";;"1 an";29796;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5174;"électricité - électronique - robotique/électrotechnique"
331;;"diplôme d'Etat en santé";"Diplôme d'Etat infirmier en pratique avancée mention psychiatrie et santé mentale";;"2 ans";31191;1;"niveau 7 (bac + 5)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.6595;"santé - social - sport/paramédical"
343;;"formation d'école spécialisée";"Conducteur de matériel de collecte ou de nettoiement ou assainissement";;"1 an";34397;5;"niveau 3 (niveau CAP)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2968;"environnement - énergies - propreté/propreté"
