"code CNIS";"sigle type formation";"libellé type formation";"libellé formation principal";"sigle formation";durée;"code RNCP";"niveau RNCP";"libellé niveau RNCP";tutelle;"lien site onisep.fr";domaine/sous-domaine
220;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'École polytechnique universitaire de l'université Paris XI spécialité matériaux en partenariat avec l'ITII Ile-de-France";Polytech;"3 ans";13916;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6036;"environnement - énergies - propreté/déchets, pollutions et risques| matières premières, fabrication, industries/études et développement| matières premières, fabrication, industries/matériaux| matières premières, fabrication, industries/méthodes industrialisation| sciences/physique| mécanique/travail des métaux"
220;;"diplôme d'ingénieur";"diplôme d'ingénieur de l'université des Antilles spécialité matériaux";"UFR SEN FI";"3 ans";;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.6165;"environnement - énergies - propreté/déchets, pollutions et risques| environnement - énergies - propreté/environnement (généralités)| matières premières, fabrication, industries/études et développement| matières premières, fabrication, industries/fonction production (généralités)| construction - architecture - travaux publics/génie civil, construction (généralités)| matières premières, fabrication, industries/maintenance - qualité| matières premières, fabrication, industries/matériaux| matières premières, fabrication, industries/mines et carrières| armée, sécurité/sécurité prévention"
252;BTS;"brevet de technicien supérieur";"BTS Maintenance des matériels de construction et de manutention";;"2 ans";31290;3;"niveau 5 (bac + 2)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.651;"mécanique/engins| construction - architecture - travaux publics/génie civil, construction (généralités)| matières premières, fabrication, industries/maintenance - qualité| mécanique/mécanique (généralités)"
254;CAP;"Certificat d'aptitude professionnelle";"CAP Réalisations industrielles en chaudronnerie ou soudage option A chaudronnerie";;"2 ans";27468;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.5310;"mécanique/travail des métaux"
223;CAP;"Certificat d'aptitude professionnelle";"CAP Lapidaire option A diamant";;"2 ans";595;5;"niveau 3 (niveau CAP)";"Ministère chargé de l'Éducation nationale et de Jeunesse";http://www.onisep.fr/http/redirection/formation/slug/FOR.5370;"arts, culture, artisanat/artisanat d'art"
335;;"licence professionnelle";"licence pro mention guide conférencier";;"1 an";29977;2;"niveau 6 (bac + 3)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.4682;"arts, culture, artisanat/activités culturelles| histoire-géographie, psychologie, sociologie/histoire| arts, culture, artisanat/histoire de l'art| hôtellerie - restauration - tourisme/tourisme"
221;CTM;"certificat technique des métiers";"CTM Préparateur(trice) vendeur(se) option charcuterie-traiteur";;"3 ans";34311;5;"niveau 3 (niveau CAP)";"Chambres de métiers et de l'artisanat";http://www.onisep.fr/http/redirection/formation/slug/FOR.5287;"matières premières, fabrication, industries/agroalimentaire| commerce, marketing, vente/grande distribution et petits commerces| commerce, marketing, vente/marketing - vente| hôtellerie - restauration - tourisme/restauration"
212;;"formation d'école spécialisée";"Certificat d'études approfondies vétérinaires en chirurgie des animaux de compagnie";CEAV;"1 an";;1;"niveau 7 (bac + 5)";"Ministère de l'Agriculture et de l'Alimentation";http://www.onisep.fr/http/redirection/formation/slug/FOR.2785;"santé - social - sport/médical| agriculture, animaux/soins aux animaux"
201;;"formation d'école spécialisée";"Chef de projet en automatisation";;"1 an";12061;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.3442;"mécanique/automatismes| informatique, internet/informatique industrielle et technologique"
200;;"formation d'école spécialisée";"Art, design et luxe";;"5 ans";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.819;"arts, culture, artisanat/arts graphiques"
200;FCIL;"formation complémentaire d'initiative locale";"FCIL Gestionnaire de chaîne graphique numérique";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2801;"information-communication, audiovisuel/industries graphiques"
201;DU;"diplôme d'université";"DU DRTU génie informatique, électronique, électrotechnique, automatique génie mécanique énergétique, matériaux";DRTU;"1 an";;0;"non inscrit au RNCP";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.406;"mécanique/automatismes| électricité - électronique - robotique/électronique| électricité - électronique - robotique/électrotechnique| environnement - énergies - propreté/énergies| matières premières, fabrication, industries/fonction production (généralités)| informatique, internet/informatique (généralités)| informatique, internet/informatique industrielle et technologique| matières premières, fabrication, industries/matériaux| mécanique/mécanique (généralités)"
121;;master;"master mention géographie, aménagement, environnement et développement";;"2 ans";34074;1;"niveau 7 (bac + 5)";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";http://www.onisep.fr/http/redirection/formation/slug/FOR.5189;"environnement - énergies - propreté/aménagement du territoire| environnement - énergies - propreté/environnement (généralités)| histoire-géographie, psychologie, sociologie/géographie"
121;"mastère spé.";"mastère spécialisé";"mastère spé. DeSIgeo, décision et systèmes d'information géolocalisée (ENSG - Géomatique - École des Ponts ParisTech - CNAM)";;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.4551;"histoire-géographie, psychologie, sociologie/géographie| informatique, internet/informatique (généralités)| information-communication, audiovisuel/technologies de l'information"
214;BPA;"brevet professionnel agricole";"BPA Travaux des aménagements paysagers";;"2 ans";15156;5;"niveau 3 (niveau CAP)";"Ministère de l'Agriculture et de l'Alimentation";http://www.onisep.fr/http/redirection/formation/slug/FOR.2664;"agriculture, animaux/agriculture (généralités)| environnement - énergies - propreté/aménagement paysager"
344;;"formation d'école spécialisée";"Responsable qualité, santé, sécurité, environnement";QSSE;"1 an";35862;2;"niveau 6 (bac + 3)";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.7526;"environnement - énergies - propreté/environnement (généralités)| matières premières, fabrication, industries/maintenance - qualité| santé - social - sport/santé (généralités)| armée, sécurité/sécurité prévention"
100;DU;"diplôme d'université";"DU Préparation aux cursus scientifiques d'Orsay";PCS0;"1 an";;0;"non inscrit au RNCP";"non renseigné";http://www.onisep.fr/http/redirection/formation/slug/FOR.2882;"sciences/biologie| sciences/chimie| lettres, langues - enseignement/formations généralistes| sciences/mathématiques| sciences/physique"
